Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],FWI,Riesgo
6.073,70.0,0.0,17.873554,20.34207292175293,Moderado
5.273,76.0,0.0,14.917212,17.691788215637207,Moderado
4.7229996,80.0,0.0,12.074766,15.362853385925293,Moderado
4.373,84.0,0.0,10.315115,13.740838050842285,Bajo
4.623,84.0,0.0,10.086427,13.605562824249269,Bajo
5.9729996,78.0,0.0,11.384198,15.214127613067626,Moderado
8.073,65.0,0.0,15.141414,19.26857441329956,Moderado
9.973,51.0,0.0,22.007162,25.43331636810303,Alto
11.373,45.0,0.0,22.553936,26.560638793945312,Alto
12.773,42.0,0.0,22.668568,27.055661560058596,Alto
13.922999,41.0,0.0,23.584808,27.81892054748535,Alto
14.623,39.0,0.0,23.795427,28.224159202575684,Alto
15.172999,38.0,0.0,23.087763,27.912823234558104,Alto
16.023,36.0,0.0,22.180206,27.60515689086914,Alto
16.323,38.0,0.0,21.194187,26.74856053161621,Alto
16.223,39.0,0.0,21.603,26.889036392211914,Alto
15.973,40.0,0.0,21.933426,26.971830261230473,Alto
15.672999,39.0,0.0,20.730501,26.300746726989747,Alto
14.922999,41.0,0.0,17.309973,23.825926429748534,Moderado
14.323,45.0,0.0,12.397806,20.16169116973877,Moderado
13.273,49.0,0.0,9.449572,17.740628105163573,Moderado
12.523,55.0,0.0,9.339208,16.925553714752198,Moderado
12.373,57.0,0.0,7.754637,15.661890083312988,Moderado
12.023,59.0,0.0,7.072878,14.97003734588623,Bajo
11.373,61.0,0.0,5.815978,13.893393871307373,Bajo
10.573,64.0,0.0,3.8773184,12.252497035980223,Bajo
10.073,66.0,0.0,2.16,10.886544053077698,Bajo
9.273,69.0,0.0,3.7585104,11.523584654808044,Bajo
8.723,72.0,0.0,2.4149535,10.277934014320373,Bajo
9.223,71.0,0.0,1.8,10.023903948783875,Bajo
10.922999,65.0,0.0,0.35999998,9.886143960356712,Bajo
12.623,64.0,0.0,6.9153743,14.307405042648316,Bajo
14.473,61.0,0.0,13.684735,19.109673511505125,Moderado
15.273,58.0,0.0,17.10284,21.703333221435546,Moderado
15.873,54.0,0.0,21.120682,24.79162306213379,Alto
16.773,50.0,0.0,24.967497,27.784172019958493,Alto
16.823,49.0,0.0,26.795223,29.08162776184082,Alto
17.523,49.0,0.0,28.84721,30.43670722961426,Alto
16.473001,52.0,0.0,29.627365,30.534727203369137,Alto
15.073,57.0,0.0,27.598173,28.570727500915524,Alto
15.422999,54.0,0.0,27.852928,29.1055897064209,Alto
14.823,55.0,0.0,27.534704,28.753853507995604,Alto
13.723,56.0,0.0,26.282463,27.77661019897461,Alto
12.623,65.0,0.1,29.427662,28.687318267822263,Alto
10.323,69.0,0.0,28.100763,27.250395576477054,Alto
7.373,59.0,0.0,30.659237,29.936452575683596,Alto
5.9230003,60.0,0.0,29.69727,29.129345535278322,Alto
5.4230003,62.0,0.0,28.082308,27.829310249328614,Alto
5.273,63.0,0.0,28.08923,27.708567840576173,Alto
4.523,67.0,0.0,29.16889,27.895869148254395,Alto
4.373,67.0,0.0,28.856194,27.68729264831543,Alto
4.123,69.0,0.0,28.1169,26.96318727874756,Alto
4.123,70.0,0.0,28.082308,26.82291024017334,Alto
4.823,67.0,0.0,32.169178,29.842454635620115,Alto
5.823,62.0,0.0,32.527744,30.711371322631834,Alto
6.6730003,59.0,0.0,32.846916,31.311718048095702,Alto
7.873,50.0,0.0,35.39186,34.07026246643066,Muy alto
7.9230003,55.0,0.0,33.672993,32.37571131896973,Muy alto
8.373,52.0,0.0,35.452232,33.89714164733887,Muy alto
8.723,55.0,0.1,34.828953,33.158549575805665,Muy alto
8.623,60.0,0.3,35.281837,27.85540733337402,Alto
9.123,57.0,0.2,39.609814,31.0206240234375,Alto
9.172999,58.0,0.1,36.80637,34.09960610961914,Muy alto
9.373,58.0,0.1,38.65602,35.30038160705566,Muy alto
9.223,61.0,0.1,36.0072,33.2333397064209,Muy alto
9.023,61.0,0.0,34.589985,32.31105426025391,Muy alto
8.223,65.0,0.0,34.07091,31.46637092590332,Alto
7.273,67.0,0.1,35.281837,31.964607315063475,Alto
6.4729996,73.0,0.1,32.654995,29.526520736694337,Alto
6.2229996,74.0,0.1,33.190357,29.74129402160645,Alto
6.073,73.0,0.1,32.058193,29.122980422973633,Alto
5.873,77.0,0.2,31.52005,23.29481623840332,Moderado
6.123,73.0,0.0,32.587456,29.466225509643557,Alto
5.823,74.0,0.2,31.550869,23.666263626098633,Moderado
5.823,76.0,0.2,30.222849,22.57501868438721,Moderado
6.023,76.0,0.1,29.01743,26.80832849121094,Alto
6.2229996,72.0,0.0,31.259945,28.734108505249022,Alto
6.773,64.0,0.0,35.63818,32.52409176635742,Muy alto
7.2229996,62.0,0.0,37.550602,34.01329164123535,Muy alto
8.073,58.0,0.0,37.16553,34.27810606384277,Muy alto
8.473,57.0,0.0,36.764088,34.15677644348145,Muy alto
9.823,50.0,0.0,38.921646,36.43704409790039,Muy alto
10.172999,47.0,0.0,41.815826,38.671696182250976,Muy alto
9.422999,53.0,0.1,39.70459,36.56805982971191,Muy alto
9.223,56.0,0.2,38.803257,30.62400148010254,Alto
10.523,47.0,0.0,45.05181,40.77247041320801,Muy alto
9.373,56.0,0.0,43.893436,38.9092770690918,Muy alto
9.172999,59.0,0.1,39.160656,35.49776641845703,Muy alto
9.223,55.0,0.0,40.03938,36.53806413269043,Muy alto
8.373,60.0,0.1,41.798775,37.04031492614747,Muy alto
8.523,55.0,0.0,40.155735,36.57939733886719,Muy alto
8.323,59.0,0.0,36.57855,33.79408918762208,Muy alto
7.7229996,61.0,0.0,37.137627,33.889335540771484,Muy alto
7.573,64.0,0.0,35.11061,32.22273745727539,Muy alto
7.4729996,67.0,0.0,34.763775,31.640574996948242,Alto
7.323,69.0,0.0,31.487143,29.287223808288577,Alto
6.9729996,72.0,0.1,34.45484,30.827621978759762,Alto
7.623,71.0,0.1,41.0621,35.23189605712891,Muy alto
7.7229996,70.0,0.0,40.732533,35.14245491027832,Muy alto
7.873,67.0,0.1,41.085762,35.73113475036621,Muy alto
7.773,70.0,0.3,37.67637,28.176685440063476,Alto
8.073,71.0,0.3,37.029285,27.656363815307618,Alto
8.823,65.0,0.0,38.96158,34.644760467529295,Muy alto
10.672999,58.0,0.0,44.33265,39.018530075073244,Muy alto
11.422999,57.0,0.0,45.9448,40.21075602722168,Muy alto
11.623,56.0,0.0,46.862267,40.92920365905762,Muy alto
10.973,65.0,0.3,44.61967,33.39177201843262,Muy alto
10.073,69.0,0.9,41.305977,30.74255310058594,Alto
9.672999,71.0,0.8,39.575443,29.372889434814454,Alto
9.323,74.0,1.0,35.110615,26.126739913940426,Alto
9.422999,73.0,1.1,34.03476,25.55668910217285,Alto
10.573,69.0,0.4,33.01418,25.42663542175293,Alto
10.223,71.0,0.6,30.10685,23.30151516723633,Moderado
9.422999,79.0,1.9,23.664352,18.17014692687988,Moderado
9.073,84.0,2.1,19.770523,15.05572085571289,Moderado
9.123,83.0,1.4,18.584509,14.41232773590088,Bajo
9.373,81.0,0.2,21.382906,16.462495445251466,Moderado
9.623,81.0,0.2,21.94524,16.836638580322266,Moderado
9.973,80.0,0.0,22.545315,22.35788670349121,Moderado
10.073,82.0,0.0,25.872456,24.26936540222168,Alto
9.672999,81.0,0.0,27.859905,25.648082946777347,Alto
8.823,75.0,0.0,26.980793,25.749134689331054,Alto
8.323,79.0,0.0,21.659916,21.826489852905276,Moderado
8.323,84.0,0.0,19.083395,19.5772103805542,Moderado
8.473,81.0,0.0,21.479664,21.481607498168945,Moderado
9.422999,78.0,0.0,23.47741,23.167755599975585,Moderado
10.823,71.0,0.0,28.296091,27.164186653137207,Alto
12.323,58.0,0.1,25.460934,26.944345291137697,Alto
13.172999,54.0,0.0,30.551254,30.735311721801757,Alto
13.823,50.0,0.1,34.131718,33.54433018493653,Muy alto
14.323,50.0,0.2,37.952263,31.02876129150391,Alto
14.473,50.0,0.2,42.73702,34.11734394836426,Muy alto
13.672999,52.0,0.2,42.505924,33.69411917114258,Muy alto
12.223,62.0,1.0,41.48912,31.789697570800783,Alto
12.473,49.0,0.3,40.691147,32.821802551269535,Muy alto
11.422999,47.0,0.0,41.705654,38.660745239257814,Muy alto
10.073,53.0,0.1,37.801712,35.37380654907227,Muy alto
9.172999,55.0,0.1,34.207577,32.779983398437494,Muy alto
7.9230003,54.0,0.0,32.91983,32.00867474365235,Muy alto
6.1730003,57.0,0.0,33.933697,32.223604721069336,Muy alto
5.1730003,60.0,0.0,30.676142,29.723739295959472,Alto
4.7229996,60.0,0.0,27.36947,27.572643043518067,Alto
4.4230003,62.0,0.0,25.006397,25.80042384338379,Alto
4.1730003,64.0,0.0,24.36591,25.139949783325193,Alto
3.773,66.0,0.0,23.400002,24.26270498275757,Alto
3.723,69.0,0.0,20.275385,21.894051879882813,Moderado
3.473,71.0,0.0,19.809813,21.34622328186035,Moderado
3.273,73.0,0.0,18.720001,20.398784786224365,Moderado
3.523,72.0,0.0,20.991426,21.99158264541626,Moderado
4.623,63.0,0.0,26.072052,26.378305496215823,Alto
5.7229996,56.0,0.0,30.312773,29.98812963104248,Alto
6.7229996,52.0,0.0,29.723444,30.128601905822755,Alto
7.4729996,53.0,0.3,31.875755,26.43269039916992,Alto
8.173,50.0,0.2,31.193535,26.38094046020508,Alto
9.273,47.0,0.2,33.3559,28.18030346679687,Alto
9.523,45.0,0.4,33.70377,28.65233166503906,Alto
9.473,47.0,0.4,34.17157,28.71519494628906,Alto
10.023,44.0,0.3,35.78697,30.13591152954102,Alto
9.922999,44.0,0.3,34.936695,29.583535614013673,Alto
9.573,45.0,0.3,33.841915,28.743697341918946,Alto
9.123,47.0,0.2,31.32207,26.8633165512085,Alto
8.573,49.0,0.1,29.522196,30.441798103332523,Alto
7.7229996,51.0,0.0,27.757376,29.028453941345216,Alto
6.7229996,58.0,0.0,28.1169,28.385987251281737,Alto
5.9230003,62.0,0.0,25.325686,26.078045478820805,Alto
5.4230003,66.0,0.0,22.805367,23.958960052490234,Moderado
5.073,70.0,0.0,21.862406,22.86289331817627,Moderado
4.6730003,74.0,0.0,21.659916,22.24128987121582,Moderado
4.573,76.0,0.0,21.603,21.96383641052246,Moderado
4.6730003,74.0,0.0,19.813087,21.051932342529298,Moderado
4.7229996,77.0,0.0,20.774214,21.319297660827637,Moderado
4.7229996,79.0,0.0,19.826164,20.47275375366211,Moderado
5.023,78.0,0.0,20.570463,21.084482276916503,Moderado
5.9729996,72.0,0.0,24.696104,24.494994987487793,Alto
6.6730003,70.0,0.1,27.475807,26.554723846435547,Alto
8.373,62.0,0.3,31.122828,24.929004936218263,Alto
8.823,60.0,0.9,31.981293,25.73945651245117,Alto
9.672999,60.0,0.2,32.651028,26.211565795898437,Alto
10.823,55.0,0.3,34.574997,28.0958020324707,Alto
11.172999,55.0,0.5,35.603615,28.77503190612793,Alto
11.273,55.0,0.3,36.386723,29.284153320312498,Alto
9.922999,65.0,0.9,42.120003,31.731585739135742,Alto
11.422999,57.0,0.1,38.82162,35.62342785644531,Muy alto
10.773,58.0,0.6,38.37843,30.188812530517577,Alto
10.172999,58.0,0.4,35.27449,28.161075759887698,Alto
9.623,53.0,0.0,34.114628,32.9777243347168,Muy alto
8.973,52.0,0.0,30.36403,30.649139839172364,Alto
8.223,56.0,0.0,29.01743,29.273928482055666,Alto
7.073,61.0,0.0,25.932495,26.642030853271486,Alto
6.523,60.0,0.0,26.019806,26.789858993530274,Alto
5.873,61.0,0.0,24.798223,25.853959938049318,Alto
5.273,63.0,0.0,24.098497,25.13853630828857,Alto
4.623,67.0,0.0,22.314194,23.48624476623535,Moderado
