Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
5.523,84.0,0.4,9.585739,Bajo
6.373,81.0,0.4,5.495161,Bajo
7.323,76.0,0.4,1.484318,Bajo
8.323,71.0,0.2,6.28713,Bajo
8.973,65.0,0.1,9.983106,Moderado
10.422999,57.0,0.0,13.661038,Moderado
11.672999,48.0,0.0,16.645864,Moderado
13.123,42.0,0.0,18.86139,Alto
13.172999,42.0,0.0,20.447239,Alto
13.123,42.0,0.0,21.734581,Alto
12.523,42.0,0.0,21.261345,Alto
11.623,45.0,0.0,20.63023,Alto
10.473,49.0,0.0,19.652176,Alto
9.273,51.0,0.0,18.25026,Moderado
7.6730003,57.0,0.0,16.167967,Moderado
6.4230003,62.0,0.0,15.546833,Moderado
5.373,66.0,0.0,14.764389,Moderado
4.623,68.0,0.0,14.404499,Moderado
4.023,73.0,0.0,13.698934,Moderado
3.823,79.0,0.0,13.698934,Moderado
3.523,78.0,0.0,13.004921,Moderado
3.123,79.0,0.0,11.966953,Moderado
3.323,80.0,0.0,11.570515,Bajo
5.123,72.0,0.0,14.113653,Moderado
7.2229996,61.0,0.0,19.242327,Moderado
8.623,49.0,0.0,20.447239,Alto
9.473,45.0,0.0,22.057161,Alto
10.672999,41.0,0.0,24.312662,Alto
11.573,39.0,0.0,26.407907,Alto
12.073,38.0,0.0,28.657898,Alto
12.573,38.0,0.0,29.62518,Alto
12.823,39.0,0.0,30.121912,Muy alto
12.573,40.0,0.0,29.354902,Alto
12.573,39.0,0.0,28.412645,Alto
12.323,41.0,0.0,26.564486,Alto
11.422999,44.0,0.0,25.772078,Alto
10.323,49.0,0.0,24.149532,Alto
9.422999,51.0,0.0,21.749481,Alto
7.9729996,59.0,0.0,18.345877,Moderado
6.823,67.0,0.0,14.917212,Moderado
5.823,73.0,0.0,11.928989,Moderado
5.2229996,76.0,0.0,10.105681,Bajo
4.623,79.0,0.0,8.647496,Bajo
4.273,81.0,0.0,10.105681,Bajo
3.573,84.0,0.0,8.28,Bajo
3.023,88.0,0.0,7.5685663,Bajo
3.323,87.0,0.0,7.2359104,Bajo
5.823,76.0,0.0,9.47012,Bajo
8.123,65.0,0.0,12.6462,Moderado
9.973,58.0,0.0,11.440979,Moderado
11.223,50.0,0.0,8.699793,Moderado
11.922999,47.0,0.0,9.114471,Moderado
12.123,45.0,0.0,11.874544,Moderado
13.123,41.0,0.0,14.799459,Moderado
13.823,39.0,0.0,16.981165,Moderado
14.273,38.0,0.0,17.709658,Alto
14.373,37.0,0.0,18.057508,Alto
14.023,40.0,0.0,19.592731,Alto
13.672999,39.0,0.0,18.057508,Alto
13.223,39.0,0.0,15.646544,Moderado
12.573,42.0,0.0,11.177405,Moderado
11.623,44.0,0.0,10.08,Moderado
10.223,52.0,0.0,7.072878,Moderado
9.172999,59.0,0.0,6.830519,Bajo
